Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"J5,J6",Hirose_DF13-03P-1.25DSA_1x03_P1.25mm_Vertical,2,Conn_01x03_Pin,C22373846
2,C7,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,C0.01uF,C695370
3,"SW6,SW4,SW2,SW5,SW3",SW_SPST_CK_KMS2xxGP,5,CK_KMS2xxGP,C221703
4,R2,R_1210_3225Metric,1,R33k,C966009
5,"C1,C2",C_0805_2012Metric,2,C 10uF,C577291
6,R4,R_2512_6332Metric,1,R,C189504
7,R1,R_2512_6332Metric,1,R47k,C4121534
8,"D3,D2",LED_0402_1005Metric,2,LED,C2977076
9,RV2,Potentiometer_Bourns_3296X_Horizontal,1,R_100ohm,C330439
10,"C4,C3",C_Disc_D5.1mm_W3.2mm_P5.00mm,2,C,C3148277
11,"C8,C9",C_0402_1005Metric,2,C_Small,C295986
12,RV3,Potentiometer_Alps_RK163_Dual_Horizontal,1,R_Potentiometer_10k,C470593
13,L1,L_10.4x10.4_H4.8,1,L_100uH,C5140330
14,"C6,C5",C_Disc_D7.0mm_W2.5mm_P5.00mm,2,C100p,C2890530
15,R8,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,R_Small,C433605
16,"J4,J3",Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,2,AudioJack3_Ground,C95562
17,J10,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack3_Radio,C95562
18,L3,L_10.4x10.4_H4.8,1,L,C10165
19,"R7,R5,R3",R_1210_3225Metric,3,R10K,C230385
20,Q1,TO-92_Inline,1,9013,C305408
21,L2,L_Taiyo-Yuden_MD-4040,1,1uH,C92958
22,SW1,SW_CK_JS202011CQN_DPDT_Straight,1,SW_DPDT_x2,C712185
23,J8,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15_PinRight,C124373
24,J9,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack3_Key,C95562
25,D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,D_C145491,C145491
26,J2,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,Conn_Coaxial,C709673
27,J7,PinHeader_1x15_P2.54mm_Vertical,1,Conn_01x15_PinLeft,C124373
28,R6,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,R100k,C3420445
29,J1,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_MountingPin,C7428648
30,U1,DIP-8_W7.62mm_SMDSocket_SmallPads,1,LM386,C5157706
31,RV1,Potentiometer_Alps_RK163_Dual_Horizontal,1,R_Pot50k,C470593
32,Q2,TO-92_Inline,1,8050,C305405
