Designator, Mid X, Mid Y, Layer, Rotation
C1,210.95,-80.95, top,-90
C2,190.02,-83.98, top,180
C3,221.05,-66.8, top,90
C4,219.45,-73.9, top,180
C5,143.5,-58.5, top,180
C6,143.5,-63, top,180
C7,190.05,-54, top,180
C8,207.45,-46.42, top,90
C9,216.95,-41.92, top,180
D1,159,-45.05, top,90
D2,182.4375,-58.5, top,180
D3,112.985,-60, top,0
J1,137.9,-43.15, top,-90
J2,227.5,-42, top,-90
J3,233.33,-61.42, top,180
J4,234.08,-75.92, top,180
J5,157.5,-59, top,0
J6,157.5,-53.5, top,0
J7,85.5,-51.5, top,0
J8,101.5,-51.5, top,0
J9,50.75,-52.92, top,0
J10,119.25,-76, top,180
L1,146.52,-81.98, top,-90
L2,216.03,-47.92, top,0
L3,184,-67.5, top,0
Q1,181.4375,-53.05, top,0
Q2,181.105,-75.39, top,90
R1,176.375,-53.1375, top,-90
R2,177.825,-50, top,0
R3,166.02,-85.98, top,0
R4,135.5,-61.5, top,90
R6,184.5375,-48.5, top,0
R8,119.325,-56.5, top,180
RV1,196,-35, top,90
RV2,174.43,-79.1, top,-90
RV3,47,-69.5, top,180
SW1,144,-48.7, top,0
SW7,69.5,-75.5, top,90
U1,201.26,-81.09, top,-90
